consensus sequence output,Number of input sequences considered,sequence found in vulgar file,number of aligned reads,# skipped reads due to low rel. score,Length of alignment,Coverage minimum,Coverage maximum,Coverage mean,Coverage median,total_length,num_n,num_gaps
UNIFI005-23_r_1_s_100,             3397829,  285,              285,               0,                              1539,                                 0,                                 41,                                    13.93,                                  12.00,1539,10,78
UNIFI005-23_r_1_s_50,             3397829,  937,              891,               33,                              1539,                                 0,                                 94,                                    33.30,                                  34.00,1539,6,18
UNIFI005-23_r_1.3_s_100,             3397829,  285,              284,               1,                              1539,                                 0,                                 41,                                    13.86,                                  12.00,1539,10,78
UNIFI005-23_r_1.3_s_50,             3397829,  937,              849,               75,                              1539,                                 0,                                 92,                                    31.64,                                  31.00,1539,2,48
UNIFI005-23_r_1.5_s_100,             3397829,  285,              240,               45,                              1539,                                 0,                                 39,                                    11.58,                                  10.00,1539,9,216
UNIFI005-23_r_1.5_s_50,             3397829,  937,              680,               244,                              1539,                                 0,                                 75,                                    25.16,                                  23.00,1539,0,105
UNIFI006-23_r_1_s_100,             12023001,  1765,              1755,               5,                              1539,                                 0,                                 294,                                    86.52,                                  78.00,1539,0,12
UNIFI006-23_r_1_s_50,             12023001,  6393,              6230,               109,                              1539,                                 0,                                 889,                                    224.08,                                  200.00,1539,0,12
UNIFI006-23_r_1.3_s_100,             12023001,  1765,              1720,               40,                              1539,                                 0,                                 294,                                    84.09,                                  76.00,1539,0,27
UNIFI006-23_r_1.3_s_50,             12023001,  6393,              5748,               591,                              1539,                                 0,                                 889,                                    205.11,                                  185.00,1539,1,18
UNIFI006-23_r_1.5_s_100,             12023001,  1765,              1474,               286,                              1539,                                 0,                                 284,                                    70.50,                                  62.00,1539,0,147
UNIFI006-23_r_1.5_s_50,             12023001,  6393,              4905,               1436,                              1539,                                 0,                                 848,                                    171.68,                                  157.00,1539,0,78
UNIFI007-23_r_1_s_100,             1209198,  76,              76,               0,                              1539,                                 0,                                 17,                                    4.35,                                  4.00,1539,63,102
UNIFI007-23_r_1_s_50,             1209198,  256,              233,               8,                              1539,                                 0,                                 29,                                    9.18,                                  8.00,1539,34,30
UNIFI007-23_r_1.3_s_100,             1209198,  76,              71,               5,                              1539,                                 0,                                 17,                                    3.94,                                  4.00,1539,58,180
UNIFI007-23_r_1.3_s_50,             1209198,  256,              208,               33,                              1539,                                 0,                                 27,                                    8.02,                                  7.00,1539,26,123
UNIFI007-23_r_1.5_s_100,             1209198,  76,              59,               17,                              1539,                                 0,                                 13,                                    3.11,                                  2.00,1539,30,300
UNIFI007-23_r_1.5_s_50,             1209198,  256,              183,               58,                              1539,                                 0,                                 23,                                    6.77,                                  6.00,1539,12,210
UNIFI008-23_r_1_s_100,             27674688,  3837,              3768,               32,                              1539,                                 0,                                 874,                                    224.47,                                  159.00,1539,0,12
UNIFI008-23_r_1_s_50,             27674688,  7797,              6530,               544,                              1539,                                 0,                                 1601,                                    320.29,                                  216.00,1539,0,6
UNIFI008-23_r_1.3_s_100,             27674688,  3837,              3493,               307,                              1539,                                 0,                                 837,                                    204.81,                                  124.00,1539,0,21
UNIFI008-23_r_1.3_s_50,             27674688,  7797,              5549,               1525,                              1539,                                 0,                                 1594,                                    271.10,                                  166.00,1539,0,15
UNIFI008-23_r_1.5_s_100,             27674688,  3837,              2470,               1330,                              1539,                                 0,                                 802,                                    140.00,                                  99.00,1539,0,138
UNIFI008-23_r_1.5_s_50,             27674688,  7797,              4097,               2979,                              1539,                                 0,                                 1562,                                    191.31,                                  114.00,1539,0,69
UNIFI009-23_r_1_s_100,             50546141,  70781,              69890,               326,                              1539,                                 0,                                 13977,                                    3978.51,                                  3052.00,1539,0,9
UNIFI009-23_r_1_s_50,             50546141,  133823,              128114,               2975,                              1539,                                 0,                                 25734,                                    5953.29,                                  4474.00,1539,0,3
UNIFI009-23_r_1.3_s_100,             50546141,  70781,              66636,               3582,                              1539,                                 0,                                 13963,                                    3754.60,                                  2970.00,1539,0,12
UNIFI009-23_r_1.3_s_50,             50546141,  133823,              114270,               16869,                              1539,                                 0,                                 25654,                                    5284.65,                                  3936.00,1539,0,9
UNIFI009-23_r_1.5_s_100,             50546141,  70781,              52777,               17443,                              1539,                                 0,                                 13785,                                    2893.31,                                  2292.00,1539,0,54
UNIFI009-23_r_1.5_s_50,             50546141,  133823,              91266,               39921,                              1539,                                 0,                                 25101,                                    4096.86,                                  2936.00,1539,0,51
UNIFI010-23_r_1_s_100,             9392055,  1182,              1173,               4,                              1539,                                 0,                                 215,                                    64.17,                                  50.00,1539,0,9
UNIFI010-23_r_1_s_50,             9392055,  3858,              3368,               165,                              1539,                                 0,                                 574,                                    133.45,                                  100.00,1539,1,3
UNIFI010-23_r_1.3_s_100,             9392055,  1182,              1124,               53,                              1539,                                 0,                                 215,                                    60.81,                                  48.00,1539,0,24
UNIFI010-23_r_1.3_s_50,             9392055,  3858,              2978,               563,                              1539,                                 0,                                 562,                                    117.17,                                  87.00,1539,1,9
UNIFI010-23_r_1.5_s_100,             9392055,  1182,              952,               225,                              1539,                                 0,                                 209,                                    50.63,                                  40.00,1539,1,126
UNIFI010-23_r_1.5_s_50,             9392055,  3858,              2459,               1082,                              1539,                                 0,                                 543,                                    94.98,                                  71.00,1539,2,54
UNIFI011-23_r_1_s_100,             1690426,  759,              759,               0,                              1539,                                 0,                                 89,                                    37.48,                                  37.00,1539,0,12
UNIFI011-23_r_1_s_50,             1690426,  2560,              2479,               34,                              1539,                                 0,                                 206,                                    89.40,                                  92.00,1539,1,9
UNIFI011-23_r_1.3_s_100,             1690426,  759,              746,               13,                              1539,                                 0,                                 89,                                    36.62,                                  37.00,1539,0,30
UNIFI011-23_r_1.3_s_50,             1690426,  2560,              2353,               162,                              1539,                                 0,                                 206,                                    84.48,                                  83.00,1539,3,18
UNIFI011-23_r_1.5_s_100,             1690426,  759,              635,               124,                              1539,                                 0,                                 89,                                    30.35,                                  28.00,1539,6,183
UNIFI011-23_r_1.5_s_50,             1690426,  2560,              1867,               652,                              1539,                                 0,                                 197,                                    65.79,                                  62.00,1539,0,72
UNIFI012-23_r_1_s_100,             364071,  18,              18,               0,                              1539,                                 0,                                 6,                                    1.05,                                  0.00,1539,42,990
UNIFI012-23_r_1_s_50,             364071,  52,              48,               2,                              1539,                                 0,                                 8,                                    2.05,                                  2.00,1539,48,582
UNIFI012-23_r_1.3_s_100,             364071,  18,              16,               2,                              1539,                                 0,                                 4,                                    0.88,                                  0.00,1539,1,993
UNIFI012-23_r_1.3_s_50,             364071,  52,              36,               14,                              1539,                                 0,                                 8,                                    1.48,                                  2.00,1539,9,741
UNIFI012-23_r_1.5_s_100,             364071,  18,              14,               4,                              1539,                                 0,                                 4,                                    0.75,                                  0.00,1539,0,1074
UNIFI012-23_r_1.5_s_50,             364071,  52,              24,               26,                              1539,                                 0,                                 6,                                    1.05,                                  0.00,1539,0,882
UNIFI013-23_r_1_s_100,             1026123,  308,              307,               0,                              1539,                                 0,                                 56,                                    15.26,                                  12.00,1539,42,12
UNIFI013-23_r_1_s_50,             1026123,  1463,              1417,               17,                              1539,                                 0,                                 168,                                    48.35,                                  41.00,1539,15,12
UNIFI013-23_r_1.3_s_100,             1026123,  308,              295,               12,                              1539,                                 0,                                 56,                                    14.52,                                  10.00,1539,50,48
UNIFI013-23_r_1.3_s_50,             1026123,  1463,              1316,               118,                              1539,                                 0,                                 168,                                    44.20,                                  36.00,1539,19,12
UNIFI013-23_r_1.5_s_100,             1026123,  308,              252,               55,                              1539,                                 0,                                 54,                                    12.08,                                  8.00,1539,49,192
UNIFI013-23_r_1.5_s_50,             1026123,  1463,              1079,               355,                              1539,                                 0,                                 156,                                    35.72,                                  26.00,1539,25,75
UNIFI014-23_r_1_s_100,             2618521,  267,              263,               2,                              1539,                                 0,                                 40,                                    15.49,                                  16.00,1539,85,48
UNIFI014-23_r_1_s_50,             2618521,  586,              522,               28,                              1539,                                 0,                                 47,                                    24.33,                                  24.00,1539,94,9
UNIFI014-23_r_1.3_s_100,             2618521,  267,              219,               46,                              1539,                                 0,                                 38,                                    12.53,                                  12.00,1539,79,57
UNIFI014-23_r_1.3_s_50,             2618521,  586,              399,               151,                              1539,                                 0,                                 44,                                    18.28,                                  18.00,1539,73,9
UNIFI014-23_r_1.5_s_100,             2618521,  267,              175,               90,                              1539,                                 0,                                 36,                                    9.81,                                  8.00,1539,83,114
UNIFI014-23_r_1.5_s_50,             2618521,  586,              285,               265,                              1539,                                 0,                                 42,                                    13.20,                                  12.00,1539,72,111
UNIFI015-23_r_1_s_100,             46847110,  880,              861,               9,                              1539,                                 0,                                 81,                                    43.68,                                  45.00,1539,6,12
UNIFI015-23_r_1_s_50,             46847110,  3039,              2347,               327,                              1539,                                 0,                                 175,                                    90.84,                                  87.00,1539,17,6
UNIFI015-23_r_1.3_s_100,             46847110,  880,              830,               40,                              1539,                                 0,                                 80,                                    41.45,                                  43.00,1539,6,33
UNIFI015-23_r_1.3_s_50,             46847110,  3039,              2012,               662,                              1539,                                 0,                                 166,                                    77.93,                                  78.00,1539,4,18
UNIFI015-23_r_1.5_s_100,             46847110,  880,              724,               146,                              1539,                                 0,                                 74,                                    35.65,                                  39.00,1539,2,93
UNIFI015-23_r_1.5_s_50,             46847110,  3039,              1523,               1151,                              1539,                                 0,                                 156,                                    59.38,                                  58.00,1539,3,81
UNIFI016-23_r_1_s_100,             37652180,  1573,              1569,               1,                              1539,                                 0,                                 209,                                    76.26,                                  64.00,1539,0,12
UNIFI016-23_r_1_s_50,             37652180,  5877,              5343,               227,                              1539,                                 0,                                 418,                                    190.94,                                  183.00,1539,0,12
UNIFI016-23_r_1.3_s_100,             37652180,  1573,              1547,               23,                              1539,                                 0,                                 209,                                    74.83,                                  63.00,1539,0,21
UNIFI016-23_r_1.3_s_50,             37652180,  5877,              4970,               604,                              1539,                                 0,                                 412,                                    176.99,                                  170.00,1539,0,18
UNIFI016-23_r_1.5_s_100,             37652180,  1573,              1412,               158,                              1539,                                 0,                                 204,                                    67.58,                                  55.00,1539,0,51
UNIFI016-23_r_1.5_s_50,             37652180,  5877,              4210,               1366,                              1539,                                 0,                                 390,                                    149.58,                                  146.00,1539,0,45
UNIFI017-23_r_1_s_100,             2116843,  153,              147,               6,                              1539,                                 0,                                 20,                                    7.74,                                  8.00,1539,35,30
UNIFI017-23_r_1_s_50,             2116843,  517,              463,               29,                              1539,                                 0,                                 52,                                    17.81,                                  17.00,1539,27,12
UNIFI017-23_r_1.3_s_100,             2116843,  153,              138,               15,                              1539,                                 0,                                 20,                                    7.15,                                  6.00,1539,30,186
UNIFI017-23_r_1.3_s_50,             2116843,  517,              397,               95,                              1539,                                 0,                                 52,                                    15.19,                                  14.00,1539,16,45
UNIFI017-23_r_1.5_s_100,             2116843,  153,              124,               29,                              1539,                                 0,                                 20,                                    6.35,                                  5.00,1539,22,258
UNIFI017-23_r_1.5_s_50,             2116843,  517,              288,               204,                              1539,                                 0,                                 49,                                    11.33,                                  10.00,1539,13,156
UNIFI018-23_r_1_s_100,             6837983,  1366,              1355,               0,                              1539,                                 0,                                 226,                                    70.51,                                  52.00,1539,0,12
UNIFI018-23_r_1_s_50,             6837983,  4373,              4155,               56,                              1539,                                 2,                                 555,                                    158.54,                                  131.00,1539,4,0
UNIFI018-23_r_1.3_s_100,             6837983,  1366,              1292,               63,                              1539,                                 0,                                 226,                                    66.51,                                  49.00,1539,1,36
UNIFI018-23_r_1.3_s_50,             6837983,  4373,              3656,               559,                              1539,                                 0,                                 512,                                    138.52,                                  109.00,1539,7,9
UNIFI018-23_r_1.5_s_100,             6837983,  1366,              1125,               232,                              1539,                                 0,                                 224,                                    56.97,                                  37.00,1539,1,156
UNIFI018-23_r_1.5_s_50,             6837983,  4373,              2876,               1343,                              1539,                                 0,                                 508,                                    108.40,                                  77.00,1539,5,72
UNIFI019-23_r_1_s_100,             3663353,  84,              80,               2,                              1539,                                 0,                                 12,                                    4.42,                                  4.00,1539,44,63
UNIFI019-23_r_1_s_50,             3663353,  433,              308,               42,                              1539,                                 1,                                 32,                                    11.28,                                  12.00,1539,42,0
UNIFI019-23_r_1.3_s_100,             3663353,  84,              77,               5,                              1539,                                 0,                                 12,                                    4.20,                                  4.00,1539,43,93
UNIFI019-23_r_1.3_s_50,             3663353,  433,              267,               83,                              1539,                                 0,                                 32,                                    9.72,                                  10.00,1539,50,39
UNIFI019-23_r_1.5_s_100,             3663353,  84,              56,               26,                              1539,                                 0,                                 10,                                    3.03,                                  2.00,1539,37,390
UNIFI019-23_r_1.5_s_50,             3663353,  433,              181,               169,                              1539,                                 0,                                 20,                                    6.66,                                  7.00,1539,30,255
UNIFI020-23_r_1_s_100,             1378112,  83,              81,               2,                              1539,                                 0,                                 24,                                    4.69,                                  3.00,1539,36,339
UNIFI020-23_r_1_s_50,             1378112,  241,              213,               14,                              1539,                                 0,                                 24,                                    9.07,                                  8.00,1539,108,30
UNIFI020-23_r_1.3_s_100,             1378112,  83,              77,               6,                              1539,                                 0,                                 24,                                    4.41,                                  3.00,1539,27,510
UNIFI020-23_r_1.3_s_50,             1378112,  241,              176,               51,                              1539,                                 0,                                 24,                                    7.47,                                  6.00,1539,88,153
UNIFI020-23_r_1.5_s_100,             1378112,  83,              65,               18,                              1539,                                 0,                                 18,                                    3.73,                                  2.00,1539,23,636
UNIFI020-23_r_1.5_s_50,             1378112,  241,              135,               92,                              1539,                                 0,                                 20,                                    5.80,                                  4.00,1539,47,351
UNIFI021-23_r_1_s_100,             8874395,  740,              733,               7,                              1539,                                 0,                                 109,                                    39.15,                                  35.00,1539,24,6
UNIFI021-23_r_1_s_50,             8874395,  2481,              2148,               146,                              1539,                                 0,                                 249,                                    86.91,                                  71.00,1539,24,6
UNIFI021-23_r_1.3_s_100,             8874395,  740,              691,               49,                              1539,                                 0,                                 106,                                    36.13,                                  32.00,1539,21,48
UNIFI021-23_r_1.3_s_50,             8874395,  2481,              1712,               582,                              1539,                                 0,                                 241,                                    69.14,                                  59.00,1539,15,6
UNIFI021-23_r_1.5_s_100,             8874395,  740,              534,               206,                              1539,                                 0,                                 104,                                    27.22,                                  26.00,1539,13,150
UNIFI021-23_r_1.5_s_50,             8874395,  2481,              1255,               1039,                              1539,                                 0,                                 215,                                    49.74,                                  45.00,1539,5,93
UNIFI022-23_r_1_s_100,             25880323,  14551,              14498,               10,                              1539,                                 1,                                 1766,                                    826.33,                                  737.00,1539,0,0
UNIFI022-23_r_1_s_50,             25880323,  32084,              30439,               595,                              1539,                                 4,                                 3113,                                    1354.61,                                  1131.00,1539,2,0
UNIFI022-23_r_1.3_s_100,             25880323,  14551,              13569,               939,                              1539,                                 0,                                 1766,                                    765.61,                                  655.00,1539,0,12
UNIFI022-23_r_1.3_s_50,             25880323,  32084,              26333,               4707,                              1539,                                 0,                                 2799,                                    1167.01,                                  1009.00,1539,2,3
UNIFI022-23_r_1.5_s_100,             25880323,  14551,              10962,               3546,                              1539,                                 0,                                 1689,                                    605.82,                                  494.00,1539,0,54
UNIFI022-23_r_1.5_s_50,             25880323,  32084,              19483,               11560,                              1539,                                 0,                                 2289,                                    862.30,                                  741.00,1539,7,39
UNIFI023-23_r_1_s_100,             1858511,  2167,              2161,               2,                              1539,                                 0,                                 598,                                    100.46,                                  66.00,1539,0,9
UNIFI023-23_r_1_s_50,             1858511,  8947,              8858,               28,                              1539,                                 2,                                 1341,                                    308.63,                                  219.00,1539,0,0
UNIFI023-23_r_1.3_s_100,             1858511,  2167,              2102,               61,                              1539,                                 0,                                 598,                                    96.67,                                  65.00,1539,0,156
UNIFI023-23_r_1.3_s_50,             1858511,  8947,              8208,               681,                              1539,                                 0,                                 1324,                                    282.62,                                  194.00,1539,0,9
UNIFI023-23_r_1.5_s_100,             1858511,  2167,              1868,               295,                              1539,                                 0,                                 594,                                    84.51,                                  52.00,1539,3,171
UNIFI023-23_r_1.5_s_50,             1858511,  8947,              5904,               2986,                              1539,                                 0,                                 1078,                                    203.06,                                  139.00,1539,0,117
UNIFI024-23_r_1_s_100,             798058,  31,              27,               4,                              1539,                                 0,                                 12,                                    1.73,                                  0.00,1539,25,828
UNIFI024-23_r_1_s_50,             798058,  115,              88,               19,                              1539,                                 0,                                 12,                                    3.36,                                  2.00,1539,36,456
UNIFI024-23_r_1.3_s_100,             798058,  31,              24,               7,                              1539,                                 0,                                 12,                                    1.53,                                  0.00,1539,10,873
UNIFI024-23_r_1.3_s_50,             798058,  115,              75,               32,                              1539,                                 0,                                 12,                                    2.85,                                  2.00,1539,10,492
UNIFI024-23_r_1.5_s_100,             798058,  31,              18,               13,                              1539,                                 0,                                 10,                                    1.07,                                  0.00,1539,9,1080
UNIFI024-23_r_1.5_s_50,             798058,  115,              61,               46,                              1539,                                 0,                                 10,                                    2.11,                                  1.00,1539,10,756
UNIFI025-23_r_1_s_100,             31828717,  11565,              11517,               8,                              1539,                                 0,                                 1164,                                    667.73,                                  662.00,1539,2,9
UNIFI025-23_r_1_s_50,             31828717,  20077,              18973,               270,                              1539,                                 0,                                 1548,                                    919.27,                                  902.00,1539,0,3
UNIFI025-23_r_1.3_s_100,             31828717,  11565,              11011,               514,                              1539,                                 0,                                 1162,                                    633.91,                                  653.00,1539,2,9
UNIFI025-23_r_1.3_s_50,             31828717,  20077,              17297,               1951,                              1539,                                 0,                                 1530,                                    840.08,                                  861.00,1539,0,3
UNIFI025-23_r_1.5_s_100,             31828717,  11565,              8748,               2777,                              1539,                                 0,                                 1152,                                    493.14,                                  515.00,1539,0,51
UNIFI025-23_r_1.5_s_50,             31828717,  20077,              13016,               6236,                              1539,                                 0,                                 1477,                                    627.16,                                  657.00,1539,2,30
UNIFI026-23_r_1_s_100,             21615011,  93264,              92925,               114,                              1539,                                 0,                                 8576,                                    5313.89,                                  5239.00,1539,0,3
UNIFI026-23_r_1_s_50,             21615011,  185305,              183709,               736,                              1539,                                 0,                                 14311,                                    8324.53,                                  8138.00,1539,0,3
UNIFI026-23_r_1.3_s_100,             21615011,  93264,              89269,               3770,                              1539,                                 0,                                 8552,                                    5062.81,                                  5169.00,1539,0,3
UNIFI026-23_r_1.3_s_50,             21615011,  185305,              166724,               17730,                              1539,                                 0,                                 13471,                                    7548.96,                                  7695.00,1539,0,3
UNIFI026-23_r_1.5_s_100,             21615011,  93264,              70599,               22443,                              1539,                                 0,                                 8490,                                    3908.34,                                  4253.00,1539,0,21
UNIFI026-23_r_1.5_s_50,             21615011,  185305,              125190,               59285,                              1539,                                 0,                                 10813,                                    5587.55,                                  6109.00,1539,0,12
UNIFI027-23_r_1_s_100,             74375542,  40765,              40692,               22,                              1539,                                 0,                                 4534,                                    2189.14,                                  2303.00,1539,0,9
UNIFI027-23_r_1_s_50,             74375542,  82542,              81114,               682,                              1539,                                 4,                                 6101,                                    3579.15,                                  3642.00,1539,1,0
UNIFI027-23_r_1.3_s_100,             74375542,  40765,              39253,               1462,                              1539,                                 0,                                 4533,                                    2089.98,                                  2298.00,1539,1,9
UNIFI027-23_r_1.3_s_50,             74375542,  82542,              72623,               9214,                              1539,                                 2,                                 5816,                                    3195.72,                                  3444.00,1539,1,0
UNIFI027-23_r_1.5_s_100,             74375542,  40765,              31605,               9110,                              1539,                                 0,                                 4520,                                    1649.09,                                  1766.00,1539,0,114
UNIFI027-23_r_1.5_s_50,             74375542,  82542,              53537,               28314,                              1539,                                 0,                                 5545,                                    2348.93,                                  2472.00,1539,0,42
UNIFI028-23_r_1_s_100,             927578,  128,              127,               1,                              1539,                                 0,                                 18,                                    7.44,                                  6.00,1539,63,36
UNIFI028-23_r_1_s_50,             927578,  313,              281,               18,                              1539,                                 0,                                 32,                                    12.59,                                  12.00,1539,47,6
UNIFI028-23_r_1.3_s_100,             927578,  128,              119,               9,                              1539,                                 0,                                 18,                                    6.87,                                  6.00,1539,37,111
UNIFI028-23_r_1.3_s_50,             927578,  313,              245,               54,                              1539,                                 0,                                 30,                                    10.91,                                  10.00,1539,34,72
UNIFI028-23_r_1.5_s_100,             927578,  128,              92,               36,                              1539,                                 0,                                 18,                                    5.28,                                  4.00,1539,27,306
UNIFI028-23_r_1.5_s_50,             927578,  313,              191,               108,                              1539,                                 0,                                 28,                                    8.39,                                  8.00,1539,28,180
UNIFI029-23_r_1_s_100,             6030242,  511,              504,               0,                              1539,                                 0,                                 72,                                    25.67,                                  22.00,1539,0,57
UNIFI029-23_r_1_s_50,             6030242,  1527,              1386,               41,                              1539,                                 0,                                 150,                                    54.63,                                  52.00,1539,2,9
UNIFI029-23_r_1.3_s_100,             6030242,  511,              487,               17,                              1539,                                 0,                                 72,                                    24.61,                                  21.00,1539,0,57
UNIFI029-23_r_1.3_s_50,             6030242,  1527,              1231,               196,                              1539,                                 0,                                 150,                                    48.43,                                  44.00,1539,0,9
UNIFI029-23_r_1.5_s_100,             6030242,  511,              420,               84,                              1539,                                 0,                                 62,                                    20.91,                                  18.00,1539,1,147
UNIFI029-23_r_1.5_s_50,             6030242,  1527,              960,               467,                              1539,                                 0,                                 136,                                    37.67,                                  34.00,1539,4,90
UNIFI030-23_r_1_s_100,             12798228,  6342,              6322,               2,                              1539,                                 0,                                 1180,                                    318.39,                                  256.00,1539,0,9
UNIFI030-23_r_1_s_50,             12798228,  16975,              16638,               89,                              1539,                                 0,                                 2083,                                    655.49,                                  540.00,1539,0,6
UNIFI030-23_r_1.3_s_100,             12798228,  6342,              6119,               206,                              1539,                                 0,                                 1180,                                    305.06,                                  237.00,1539,0,81
UNIFI030-23_r_1.3_s_50,             12798228,  16975,              15411,               1329,                              1539,                                 0,                                 2075,                                    599.81,                                  497.00,1539,0,9
UNIFI030-23_r_1.5_s_100,             12798228,  6342,              5453,               874,                              1539,                                 0,                                 1178,                                    268.65,                                  219.00,1539,0,108
UNIFI030-23_r_1.5_s_50,             12798228,  16975,              11836,               4930,                              1539,                                 0,                                 1807,                                    466.22,                                  392.00,1539,0,63
UNIFI031-23_r_1_s_100,             7517882,  1095,              1040,               8,                              1539,                                 0,                                 147,                                    55.98,                                  48.00,1539,9,57
